Models,Accuracy,Precision,Recall,F1
SVM,0.9876±0.0059,0.9879±0.0057,0.9876±0.0059,0.9877±0.0059
Decision Tree,0.9825±0.0083,0.9827±0.0082,0.9825±0.0083,0.9825±0.0083
KNN,0.9980±0.0029,0.9980±0.0029,0.9980±0.0029,0.9980±0.0029
Naive Bayes,0.8429±0.0120,0.8448±0.0127,0.8429±0.0120,0.8421±0.0120
"3WN(0.5,0.85)",1.0000±0.0000,1.0000±0.0000,0.9538±0.0104,0.9763±0.0054
"3WN(1,0.82)",1.0000±0.0000,1.0000±0.0000,0.9838±0.0062,0.9918±0.0032
"3WN(2,0.85)",0.9956±0.0036,0.9957±0.0035,0.9904±0.0060,0.9930±0.0045
"3WN(3,0.8)",0.9996±0.0016,0.9996±0.0016,0.9795±0.0071,0.9894±0.0038
"3WQ(0.3,0.7)",1.0000±0.0000,1.0000±0.0000,0.6622±0.0224,0.7965±0.0163
"3WQ(0.4,0.8)",1.0000±0.0000,1.0000±0.0000,0.7247±0.0332,0.8400±0.0222
"3WQ(0.5,0.85)",1.0000±0.0000,1.0000±0.0000,0.7680±0.0316,0.8684±0.0199
