Models,Accuracy,Precision,Recall,F1
SVM,0.9876,0.9879,0.9876,0.9877
Decision Tree,0.9825,0.9827,0.9825,0.9825
KNN,0.998,0.998,0.998,0.998
Naive Bayes,0.8429,0.8448,0.8429,0.8421
"GRS3WDC-N(0.5,0.85)",1,1,0.9538,0.9763
"GRS3WDC-N(1,0.82)",1,1,0.9838,0.9918
"GRS3WDC-N(2,0.85)",0.9956,0.9957,0.9904,0.993
"GRS3WDC-N(3,0.8)",0.9996,0.9996,0.9795,0.9894
"GRS3WDC-MC(0.3,0.7)",1,1,0.6622,0.7965
"GRS3WDC-MC(0.4,0.8)",1,1,0.7247,0.84
"GRS3WDC-MC(0.5,0.8)",1,1,0.7629,0.8652
"GRS3WDC-MC(0.5,0.85)",1,1,0.768,0.8684
