Models,Accuracy,Precision,Recall,F1
SVM,0.9711±0.0144,0.9715±0.0140,0.9711±0.0144,0.9710±0.0144
Decision Tree,0.9289±0.0166,0.9306±0.0163,0.9289±0.0166,0.9290±0.0165
KNN,0.9702±0.0148,0.9711±0.0142,0.9702±0.0148,0.9699±0.0150
Naive Bayes,0.9311±0.0228,0.9325±0.0215,0.9311±0.0228,0.9310±0.0227
"3WN(0.5,0.85)",0.9826±0.0177,0.9832±0.0173,0.4553±0.0439,0.6210±0.0410
"3WN(1,0.82)",0.9753±0.0194,0.9762±0.0189,0.5711±0.0468,0.7195±0.0394
"3WN(2,0.85)",0.9831±0.0172,0.9835±0.0171,0.6066±0.0324,0.7499±0.0264
"3WN(3,0.8)",0.9862±0.0159,0.9866±0.0155,0.6202±0.0374,0.7609±0.0294
"3WQ(0.3,0.7)",0.9741±0.0285,0.9756±0.0277,0.2118±0.0310,0.3470±0.0423
"3WQ(0.4,0.8)",0.9629±0.0355,0.9662±0.0310,0.2482±0.0569,0.3919±0.0752
"3WQ(0.5,0.85)",0.9653±0.0281,0.9662±0.0285,0.3237±0.0351,0.4838±0.0415
