Models,Accuracy,Precision,Recall,F1
SVM,0.9711,0.9715,0.9711,0.971
Decision Tree,0.9289,0.9306,0.9289,0.929
KNN,0.9702,0.9711,0.9702,0.9699
Naive Bayes,0.9311,0.9325,0.9311,0.931
"GRS3WDC-N(0.5,0.85)",0.9826,0.9832,0.4553,0.621
"GRS3WDC-N(1,0.82)",0.9753,0.9762,0.5711,0.7195
"GRS3WDC-N(2,0.85)",0.9831,0.9835,0.6066,0.7499
"GRS3WDC-N(3,0.8)",0.9862,0.9866,0.6202,0.7609
"GRS3WDC-MC(0.3,0.7)",0.9741,0.9756,0.2118,0.347
"GRS3WDC-MC(0.4,0.8)",0.9629,0.9662,0.2482,0.3919
"GRS3WDC-MC(0.5,0.8)",0.976,0.978,0.3004,0.4579
"GRS3WDC-MC(0.5,0.85)",0.9653,0.9662,0.3237,0.4838
