Models,Accuracy,Precision,Recall,F1
SVM,0.6140±0.1025,0.6018±0.1185,0.6140±0.1025,0.5941±0.1097
Decision Tree,0.6884±0.0783,0.7112±0.0790,0.6884±0.0783,0.6861±0.0783
KNN,0.6105±0.0941,0.5904±0.0957,0.6105±0.0941,0.5843±0.0936
Naive Bayes,0.4512±0.1255,0.4835±0.1278,0.4512±0.1255,0.4230±0.1204
"3WN(0.5,0.85)",0.8746±0.0999,0.8946±0.0879,0.2547±0.0604,0.3927±0.0790
"3WN(1,0.82)",0.8284±0.0929,0.7857±0.1251,0.2721±0.0611,0.4018±0.0780
"3WN(2,0.85)",0.8149±0.1060,0.7900±0.1238,0.3047±0.0764,0.4351±0.0910
"3WN(3,0.8)",0.8208±0.0845,0.7888±0.0943,0.3233±0.0828,0.4542±0.0942
"3WQ(0.3,0.7)",0.9905±0.0287,0.9930±0.0209,0.1453±0.0592,0.2486±0.0902
"3WQ(0.4,0.8)",0.9537±-.0751,0.9737±0.0441,0.1488±0.0425,0.2558±0.0631
"3WQ(0.5,0.85)",0.9178±0.0949,0.9418±0.0948,0.1721±0.0438,0.2886±0.0647
