Models,Accuracy,Precision,Recall,F1
SVM,0.8833±0.0405,0.9018±0.0437,0.8833±0.0405,0.8813±0.0429
Decision Tree,0.8440±0.0590,0.8786±0.0574,0.8440±0.0590,0.8469±0.0611
KNN,0.8464±0.0540,0.8634±0.0579,0.8464±0.0540,0.8373±0.0600
Naive Bayes,0.6762±0.0850,0.7344±0.0997,0.6762±0.0850,0.6635±0.0814
"3WN(0.5,0.85)",0.9337±0.0740,0.9671±0.0360,0.3952±0.0830,0.5565±0.0827
"3WN(1,0.82)",0.9576±0.0460,0.9761±0.0267,0.5964±0.0609,0.7385±0.0477
"3WN(2,0.85)",0.9324±0.0490,0.9421±0.0658,0.6179±0.0696,0.7446±0.0639
"3WN(3,0.8)",0.9191±0.0478,0.9409±0.0326,0.6631±0.0758,0.7754±0.0550
"3WQ(0.3,0.7)",0.9491±0.0625,0.9497±0.0924,0.2250±0.1009,0.3540±0.1363
"3WQ(0.4,0.8)",0.9436±0.0858,0.9465±0.0875,0.2774±0.0739,0.4226±0.0861
"3WQ(0.5,0.85)",0.9482±0.0449,0.9626±0.0398,0.3643±0.0894,0.5218±0.0936
