Models,Accuracy,Precision,Recall,F1
SVM,0.8833,0.9018,0.8833,0.8813
Decision Tree,0.844,0.8786,0.844,0.8469
KNN,0.8464,0.8634,0.8464,0.8373
Naive Bayes,0.6762,0.7344,0.6762,0.6635
"GRS3WDC-N(0.5,0.85)",0.9337,0.9671,0.3952,0.5565
"GRS3WDC-N(1,0.82)",0.9576,0.9761,0.5964,0.7385
"GRS3WDC-N(2,0.85)",0.9324,0.9421,0.6179,0.7446
"GRS3WDC-N(3,0.8)",0.9191,0.9409,0.6631,0.7754
"GRS3WDC-MC(0.3,0.7)",0.9491,0.9497,0.225,0.354
"GRS3WDC-MC(0.4,0.8)",0.9436,0.9465,0.2774,0.4226
"GRS3WDC-MC(0.5,0.8)",0.9646,0.9873,0.3226,0.4807
"GRS3WDC-MC(0.5,0.85)",0.9482,0.9626,0.3643,0.5218
