Models,Accuracy,Precision,Recall,F1
SVM,0.7055±0.0044,0.7046±0.0049,0.7055±0.0044,0.6980±0.0052
Decision Tree,0.8770±0.0060,0.8781±0.0062,0.8870±0.0062,0.8772±0.0061
KNN,0.9462±0.0038,0.9472±0.0038,0.9462±0.0038,0.9463±0.0039
Naive Bayes,0.6430±0.0069,0.6597±0.0073,0.6430±0.0069,0.6404±0.0071
"3WN(0.5,0.85)",0.8747±0.0041,0.8782±0.0038,0.5424±0.0078,0.6706±0.0064
"3WN(1,0.82)",0.8089±0.0105,0.8216±0.0118,0.4375±0.0090,0.5709±0.0102
"3WN(2,0.85)",0.7768±0.0124,0.7527±0.0129,0.3361±0.0085,0.4646±0.0086
"3WN(3,0.8)",0.7006±0.0116,0.6562±0.0187,0.2937±0.0069,0.4057±0.0093
"3WQ(0.3,0.7)",0.9736±0.0034,0.9740±0.0033,0.6331±0.0063,0.7674±0.0053
"3WQ(0.4,0.8)",0.9668±0.0033,0.9674±0.0031,0.6382±0.0065,0.7690±0.0050
"3WQ(0.5,0.85)",0.9555±0.0032,0.9562±0.0032,0.6331±0.0045,0.7618±0.0041
