Models,Accuracy,Precision,Recall,F1
SVM,0.7055,0.7046,0.7055,0.698
Decision Tree,0.877,0.8781,0.887,0.8772
KNN,0.9462,0.9472,0.9462,0.9463
Naive Bayes,0.643,0.6597,0.643,0.6404
"GRS3WDC-N(0.5,0.85)",0.8747,0.8782,0.5424,0.6706
"GRS3WDC-N(1,0.82)",0.8089,0.8216,0.4375,0.5709
"GRS3WDC-N(2,0.85)",0.7768,0.7527,0.3361,0.4646
"GRS3WDC-N(3,0.8)",0.7006,0.6562,0.2937,0.4057
"GRS3WDC-MC(0.3,0.7)",0.9736,0.974,0.6331,0.7674
"GRS3WDC-MC(0.4,0.8)",0.9668,0.9674,0.6382,0.769
"GRS3WDC-MC(0.5,0.8)",0.9597,0.9605,0.6001,0.7387
"GRS3WDC-MC(0.5,0.85)",0.9555,0.9562,0.6331,0.7618
