Models,Accuracy,Precision,Recall,F1
SVM,0.9447±0.0038,0.9448±0.0037,0.9447±0.0038,0.9447±0.0038
Decision Tree,0.9350±0.0053,0.9351±0.0054,0.9350±0.0053,0.9350±0.0053
KNN,0.9393±0.0036,0.9397±0.0035,0.9393±0.0036,0.9393±0.0036
Naive Bayes,0.6863±0.0114,0.7793±0.0089,0.6863±0.0114,0.6583±0.0133
"3WN(0.5,0.85)",0.9568±0.0066,0.9569±0.0065,0.5638±0.0116,0.7095±0.0096
"3WN(1,0.82)",0.9534±0.0058,0.9536±0.0057,0.3904±0.0097,0.5539±0.0101
"3WN(2,0.85)",0.9515±0.0067,0.9526±0.0067,0.2919±0.0077,0.4468±0.0088
"3WN(3,0.8)",0.9605±0.0102,0.9622±0.0095,0.1849±0.0077,0.3101±0.0110
"3WQ(0.3,0.7)",0.9616±0.0040,0.9617±0.0039,0.6699±0.0122,0.7897±0.0090
"3WQ(0.4,0.8)",0.9608±0.0037,0.9609±0.0037,0.6837±0.0076,0.7989±0.0059
"3WQ(0.5,0.85)",0.9648±0.0044,0.9649±0.0044,0.6999±0.0070,0.8113±0.0055
