Models,Accuracy,Precision,Recall,F1
SVM,0.9447,0.9448,0.9447,0.9447
Decision Tree,0.935,0.9351,0.935,0.935
KNN,0.9393,0.9397,0.9393,0.9393
Naive Bayes,0.6863,0.7793,0.6863,0.6583
"GRS3WDC-N(0.5,0.85)",0.9568,0.9569,0.5638,0.7095
"GRS3WDC-N(1,0.82)",0.9534,0.9536,0.3904,0.5539
"GRS3WDC-N(2,0.85)",0.9515,0.9526,0.2919,0.4468
"GRS3WDC-N(3,0.8)",0.9605,0.9622,0.1849,0.3101
"GRS3WDC-MC(0.3,0.7)",0.9616,0.9617,0.6699,0.7897
"GRS3WDC-MC(0.4,0.8)",0.9608,0.9609,0.6837,0.7989
"GRS3WDC-MC(0.5,0.8)",0.9633,0.9634,0.6969,0.8087
"GRS3WDC-MC(0.5,0.85)",0.9648,0.9649,0.6999,0.8113
