Models,Accuracy,Precision,Recall,F1
SVM,0.7464,0.7504,0.7464,0.7457
Decision Tree,0.7167,0.7212,0.7167,0.7144
KNN,0.8083,0.8227,0.8083,0.8054
Naive Bayes,0.6762,0.7073,0.6762,0.6719
"GRS3WDC-N(0.5,0.85)",1,1,0.2917,0.4486
"GRS3WDC-N(1,0.82)",0.9722,0.9754,0.3976,0.5625
"GRS3WDC-N(2,0.85)",0.9434,0.9509,0.4548,0.6121
"GRS3WDC-N(3,0.8)",0.8843,0.9032,0.4357,0.5848
"GRS3WDC-MC(0.3,0.7)",1,1,0.2012,0.3295
"GRS3WDC-MC(0.4,0.8)",1,1,0.2405,0.3816
"GRS3WDC-MC(0.5,0.8)",1,1,0.269,0.4579
"GRS3WDC-MC(0.5,0.85)",1,1,0.2571,0.4048
